text,sentiment
broadly speaking this means two things first our policy measures have boosted confidence in the euro areas growth prospects which has brought foreign investors back to euro area stock markets,1
the euro and the development of the european financial markets  one very important structural effect is that the single currency is expected to lead to improved competition and increased price transparency in the markets for goods and services,1
for slovakia further improving the business environment and judicial system would help promote continued economic success over the next ten years,1
for example the more recent accelerated integration of emerging markets into the global economy may have led to an increase in global savings and as a result to a growing demand for financial services and new financial operators,1
however the single monetary policy will generate new activities in particular in connection with the emergence of larger and deeper financial markets,1
consumer and business sentiment has risen to a sixyear high supporting expectations of a further strengthening of growth in the coming months,1
the ecbs strategy with its commitment to achieve price stability over the medium term can contribute to this wider objectives by creating favourable conditions for growth employment and welfare,1
indeed globalisation has granted households and firms easier access to international financial markets,1
it is partly related to the important labour market reforms implemented in many euro area countries which among other things have increased the incentives to work,1
the contribution of investment to growth has also been steadily rising,1
chinas domestic development has taken place in parallel to its growing economic integration with the rest of the world,1
this confirms the view that euro area economic growth has been now more broadly based and also selfsustained,1
that said it is clear now that the euro area will move faster than others in terms of economic and political integration there will be a europe of different speeds with the euro area as its engine,1
further integration of the european banking market  the first effect is the likely consolidation of the european banking sector,1
the euro area is a bankbased economy loans are the main source of financing for companies and almost the only one for small and mediumsized enterprises,1
economic integration within europe has gone hand in hand with europes integration into the global economy,1
first the greater cyclical synchronisation of the euro area linked inter alia to a single monetary policy and common exchange rate together with its size will make economic developments in the euro area of considerable importance to the world,1
the effects of technological development the penetration of the digital technologies and the deregulation of markets are continuing in the stabilityoriented environment created by economic policies,1
third the highly competitive and unregulated market structure of the us economy has facilitated the emergence of new lines of business and the harnessing of the new technologies to promote efficiency,1
collectively this has contributed to a recovery in the euro area that is now largely driven by domestic demand,1
a better understanding of these benefits will lend support to the implementation of reforms and raise consumer confidence in the future thus also helping the ongoing recovery of the euro area economy,1
as i have already mentioned financial integration is perceived to be a key factor in the development and modernisation of the financial system which in turn leads to greater productivity and competitiveness a more efficient allocation of capital and therefore increased potential for economic growth,1
the growth of emerging economies has brought a much higher level of economic prosperity to hundreds of millions of their people,1
an established track record of the eurosystem with reference to its primary objective of price stability and continuing integration of financial markets in the euro area will undoubtedly contribute to the further internationalisation of the euro,1
moreover the declines in consumer price inflation observed in the second half of 2001 and expected over the course of 2002 will support higher growth in real disposable income which in turn should underpin growth in domestic demand,1
growth has been underpinned by domestic demand as well as strong exports which reflects the increased integration of slovenia with the eu and the euro area,1
research suggests that deeper equity markets are more effective in bringing economies closer to the technological frontier as well as in greening the local economy,1
i will then explore how education research and the diffusion of knowledge have supported and facilitated the development of financial markets and how education can further contribute to fully realising the benefits of financial innovation thereby supporting through this channel our economies growth performance,1
moreover in many of these emerging economies competitiveness has also been stimulated by investment in the technology sector,1
first several emerging economies  china in particular  have integrated in the global economy to an unprecedented degree,1
diverging trends in total factor productivity growth are also remarkable with the us showing significant improvements in recent years,1
indeed the euro has contributed to the integration of financial markets in the euro area which has increased their liquidity and efficiency and made the euro more attractive to international investors,1
additional benefits from the globalisation of financial markets include the more rapid spreading of technological advances financial innovation as well as more generally financial performance to the various parts of the globe,1
in germany for example they financed many public infrastructure projects and facilitated the large urban agglomeration resulting from industrialisation,1
crossborder interbank loans have increased to almost a quarter of total interbank loans and euro area banks holdings of securities issued by banks in other euro area countries have almost tripled over the past decade,1
it has been the main driver behind the remarkable increase in economic and financial integration as well as the transformation of the financial system over the past decade,1
this is mainly due to more sustained growth in world gdp an increase in global trade integration and a very sizeable increase in trade with the ten new members of the european union,1
progress in the euro area recovery has been mostly homegrown with a virtuous cycle increasingly taking hold between rising income and spending in both the corporate and the household sector,1
in the last three years the world product has grown at a rate of 47 per annum  the highest rate in 30 years for a period of this length,1
many public administrations have already started to make extensive use of new information and communication technologies that streamline the administration and increase the efficiency of the services offered to the public,1
over the first decade of the euro gdp growth per person has been of the same order of magnitude as in the united states,1
for the corporate sector financial market integration means improving financing conditions with a new variety of options,1
robust economic activity is further being translated into a substantial amount of job creation,1
the prospects of full migration to the sepa credit transfer and direct debit schemes form the foundation for innovative payment services offered on a paneuropean scale,1
4 for example through higher trend productivity growth resulting from the increased ability of firms to adopt new production technologies in a more flexible economic environment,1
more specifically aggregate demand is expected to increase reflecting the positive intertemporal substitution effect of lower interest rates onto households and firms consumption and investment decisions,1
with the single market the euro and the creation of supranational institutions economic and monetary integration is well advanced,1
a digital euro would also generate synergies with other elements of our strategy facilitating the digitalisation of information exchange in payments through einvoices ereceipts eidentity and esignature,1
in the past two decades financial innovation and liberalisation have made important contributions to the overall productivity of our economies,1
looking forward i believe that greater standardisation of abs products is a key goal to stimulate greater market activity,1
they also find that policies that foster financial development such as financial integration ultimately contribute to growth,1
the ongoing economic expansion of the euro area is largely supported by developments in domestic demand,1
we are very much satisfied by the fact that economic activity is now expected to grow more strongly than anticipated earlier,1
as the recent experience in european countries has demonstrated reforms are paying off by contributing to significant employment growth and productivity gains and there is growing acceptance by the public of such structural reforms,1
finally the monetary union and the completion of the single market are promoting corporate restructuring and facilitating a reorganisation of economic activity which is improving the efficiency of the economy,1
seeing capital and capital accumulation as an important input factor financial development is linked most clearly to this source of growth,1
but since 2012 improvements in deficit countries have been driven predominantly by robust growth in exports,1
the increase in interdependence on the financial side has been even more impressive with the share of gross international asset holdings in world gdp  which provides a measure of financial openness  having exhibited an eightfold increase over the last 25 years now standing at more than 130 of world gdp,1
this notwithstanding currently available forecasts both by international organisations and private institutions expect that economic growth in the euro area will supported by domestic demand be broadly in line with trend potential growth in 2001,1
the scope of international cooperation is broadening significantly as our economies become increasingly connected,1
the broadening of the capital markets and their greater integration are contributing to a more efficient allocation of savings,1
at the same time private sector domestic demand should increasingly contribute to economic growth benefiting from the accommodative monetary policy stance and the measures adopted to improve the functioning of the financial system,1
these improvements and the increased efficiency and liquidity of the financial markets will help the euro area economies to become more competitive and to grow faster in the longer run,1
given that greater efficiency stimulates the demand for both funds and financial services this should also result in financial markets increasing in size,1
this adjustment appears to have intensified in recent years as there has been an increase in merger activity an establishment of alliances and an introduction of new products and services often based on modern information technology,1
the us have traditionally been characterised by a very high degree of income and consumption smoothing across states that has only been increasing over time,1
the evidence available for the united states shows that banking integration across the federal states has led to a better alignment of business cycles and a reduction in the volatility of economic activity employment and personal income growth across the united states,1
foreign direct investment also made a very significant contribution to irelands growing economy,1
the different elements of this comprehensive package will be mutually reinforcing in supporting favourable financing conditions for businesses and households which will sustain investment and consumption,1
in line with this approach crossborder entry into the banking sector and crossborder business flows provide an indication of progress in integration,1
these initiatives also involving exchanges located in noneuro area countries notably the united kingdom and the united states reflect increasing financial market integration as well as technological factors such as the increased potential for economies of scope and scale resulting from new information and communication technologies ict,1
in this field there have been substantial improvements in the euro area in particular concerning the educational level of young people,1
second industrial growth and infrastructure the creation of the german empire also speeded up the process of industrialisation,1
for the banking industry in particular enhanced financial integration results in the widening of business opportunities for individual institutions and efficiency gains so that the more efficient institutions gain market share at the expense of the less productive banks as well as benefiting from risk diversification and economies of scale and scope,1
in particular equity funding has been shown to be important for incentivising green innovation and supporting the reallocation of resources to greener activities,1
countries with more competitive market conditions better education and more investment in rd and innovation policies can maximise the beneficial impact of managerial capital on productivity and growth,1
most studies point to the potential competitive pressure has to increase employment at least in the long run and to boost productivity trends by improving production efficiency and by enhancing the incentive to invest and innovate,1
over a period of a few years financial markets in the euro area have grown in size and have come to play a more important role in the economy,1
this in due time will contribute to the smooth functioning of the financing of the euro area economy as savings are likely to be channelled more efficiently and swiftly through the economy,1
the successful creation of the euro area and further economic integration within europe has gone hand in hand with the integration of europe within the global economy,1
a recent study for example found that the overall level of euwide real gdp may increase by more than 1 over a decade as a result of further integration and that employment would also benefit,1
the most substantial increase in crossborder activity and market integration has taken place in wholesale activities,1
over the past decade this process involved and is evidenced by the unprecedented and pervasive growth in the crossborder trade of goods and services as well as of financial and real assets but it also involves the swift transfer of technologies information and ideas,1
measures working in this direction will also facilitate the restructuring of the economy and foster innovation productivity growth which ultimately leads to sustainable longterm economic growth,1
as the us experience has shown a more integrated market on the funding side will also help to promote the standardisation of the market for underlying mortgage products,1
ultimately these globalisation forces provide the scope for many economic benefits including more efficient resource allocation along with welfare gains from deepening specialisation cheaper products and greater product choice,1
for instance a recent ecb survey of large euro area companies highlighted that firms see the potential for digital technologies to increase productivity growth in particular by promoting knowledge sharing and enabling more efficient production processes,1
above i have also given various examples of the important role the imf has played in enhancing statistics for the international financial system at the worldwide level,1
it is the view of many authors that a welldeveloped corporate bond market facilitates innovation and supports the transition of mediumsized firms into large enterprises,1
this evidence is broadly in line with the hypothesis that information and communication technologies have the largest impact on productivity growth indirectly namely by sparkling further innovations in managerial processes procedures and organizational structures and by facilitating complementary innovations,1
the euro is used for liability diversification by firstclass private addresses most of them located in industrial countries in particular the united states and the united kingdom,1
in particular the addition of indicators for a number of important underlying factors of integration related to financial institutions and market infrastructures is envisaged,1
the structure of the euro area financial system with the dominant role played by the banking system in the financing of the economy implies that the transmission of the ecbs policy rates to the euro area bank lending rates is of utmost relevance for economic activity,1
it could give a jolt to productivity especially in europe consider that it adoption has been a key factor in the united states exhibiting faster productivity growth than europe since the 1990s,1
it should contribute to a deeper economic union that is commensurate with the degree of economic integration and interdependency already achieved through monetary union,1
all of the financial infrastructures represented around the table today are at the forefront of providing safe and innovative solutions to the european market,1
it has gradually become clearer that there are good prospects for a sustained upturn in economic activity in the years to come,1
real gdp growth increased during the second half of 1999 and leading indicators point towards a continuation of strong growth in the euro area during this year,1
the euro has facilitated economic integration with financial integration increasing by around 2530 in those eu countries that first adopted the euro and trade integration increasing by an average of 510 since 1999,1
crossborder banks may act via their expansion across jurisdictions as important drivers in the financial integration process and thus contribute to enhancing the overall efficiency of the banking sector,1
additionally business cycle synchronisation across euro area countries has increased in recent years,1
 the utilisation of this currency in the global financial market is the driving force behind its internationalisation,1
and thanks to the benefits in terms of standardisation and interoperability the scheme would also support our strategic autonomy and economic efficiency,1
during the last decade there has been a continued process of integration in european financial markets which has brought about a surge in crossborder trading,1
5 not surprisingly the benefits of this financial integration are particularly clear for open economies which have recorded higher average growth rates in recent years,1
1 and the region also recognised that being a major hub enabled it to extend its reach further by becoming a genuine gathering point for talent technology and knowledge from all over the world,1
this has triggered increasing crossborder competition and has provided an incentive for the harmonisation of market practices,1
an important advantage of this set of policy actions is that they can simultaneously contribute to higher sustained output growth lower ulc growth and improvements in competitiveness,1
in other words the euro area global competitiveness and trade specialisation in comparison with that of its trading partners is of great importance,1
households  are increasingly conscious of the opportunities offered by an expanded economic and financial area,1
sizeable financial benefits are expected from the integration of retail payment systems as a result of standardisation and the openingup of payment services markets to more competition,1
increasing the flexibility of labour markets and deregulating product markets will enhance the growth potential of the euro area by allowing for a better exploitation of the opportunities which are offered for instance by the single currency and the new information and communications technologies,1
the eu single market offers a unique businesses environment with direct access to over 500 million potential business partners employees and consumers with relatively high purchasing power,1
but as this coincided with deeper european integration in the second half of the 20th century rising living standards have contributed to the appeal of europe and its widespread support,1
good prospects for households income from the stabilisation in the labour markets the sentiment in the survey data finds its support in a number of encouraging developments both in the household and in the nonfinancial corporations sector,1
2 they also help economies to catch up in terms of technology and financial market development through the transfer of knowledge a critical determinant of growth,1
groups active in many eu countries typically engage in significant wholesale and investment banking activities on a crossborder basis,1
over the last decade these countries have experienced remarkable transformations in their financial sectors,1
for example the increase in productivity in the second half of the 1990s led to strong growth in consumption in the united states financed by debt,1
similarly a higher usage of electronic retail payment instruments seems to stimulate banking business,1
the prospect of achieving more stable conditions in the foreign exchange markets globally markedly deeper and more efficient financial markets in europe and increased crossborder competition are likely to effect the international financial system as a whole,1
globalisation technological advances and financial innovation are altering economic relationships at an unprecedented pace,1
as regards economic activity it appears that the sustained real economic growth experienced in the euro area in the first half of 2007 has continued over the summer,1
starting with external developments there are indications of a gradual firming of economic activity which should in turn lead to a gradual strengthening of the external demand for euro area products and services,1
in the second quarter of 2006 euro area labour productivity growth is estimated to have grown by 14 in annual terms,1
the growth in loans to nonfinancial corporations has also picked up over recent months,1
as previously explained the money supply development of m3 plays a prominent role in our strategy,1
importantly the impressive enlargement of the eu and the successful creation of the euro area have gone hand in hand with europes integration into the global economy,1
one example of its improving resilience is the fact that domestic demand is now the mainstay of real gdp growth,1
more and more goods and services have become tradable and domestic companies have increasingly engaged in international trade,1
4of course the convergence process is heavily influenced by globalisation through the specialisation gains from international trade and international knowledge spillovers among many other mechanisms,1
all of these four elements of stability connected with the single currency are instrumental in improving the environment for financial institutions and private sector companies,1
moreover as numerous studies have shown the greater economic efficiency achieved with financial market integration would ultimately foster a higher potential growth path of the economy,1
moreover higher growth in value added has been found to be driven by faster growth in labour productivity than in capital accumulation supporting the idea that equity markets play an important role in the financing of innovation and tfp growth,1
todays information and communication technologies have opened up a vast field of research into the role of narratives as determinants of economic developments,1
throughput objective the eurosystem statistical function aims to be a production network for the highly efficient and harmonised compilation of both eurosystem and national statistics reaping economies of scale and using stateoftheart techniques while respecting the specific setup of the eurosystem,1
policymakers have already launched important initiatives to step up crossborder cooperation in line with the growth of crossborder banking,1
moreover the euro has benefited from crossborder trade investment flows and the overall economic stability of the euro area,1
there are three main effects i would like to mention in these concluding remarks     first the critical mass achieved by the full integration of twelve national markets into one has effectively improved the prospects for an efficient allocation of capital to the most productive investment opportunities hence for higher sustainable growth,1
in so doing it can contribute significantly to the establishment of favourable conditions for sustained economic growth and high employment in the medium term,1
the economic gains of financial integration coincide with the objectives expressed in the lisbon agenda of granting the citizens of europe access to a genuine single market in which financial services are offered on the same conditions within and across borders,1
openness and international integration can lead to a dramatic improvement in economic performance through the introduction of new technologies and access to larger markets,1
the principle of decentralisation introduces a national anchoring that creates closeness to the local financial communities and the local general public,1
according to a recent eu pilot survey on rd investment european companies expect their global investment in research and development to grow by about 5 per year over the next three years which represents a considerable improvement over recent years,1
for many europe is a proxy for globalisation which has created prosperity as well as strong interconnections,1
the shift towards electric vehicles for example may go handinhand with increased autonomous driving revolutionising the transport industry,1
as this interdependence within the euro area becomes stronger the euro area is also becoming a more open economy with increasing extraeuro area trade,1
emerging market countries and their access to international financial markets    the financial integration of countries into the global economy continues at a high pace,1
productivity gains are a key factor driving longterm economic growth and increases in living standards,1
the economic literature tells us that an integration of financial markets is very likely to contribute to economic growth by making the allocation of capital more efficient,1
the role of market integration market integration in turn leverages the potential of market development initiatives and enhances market depth,1
there are also clear signs that integration in the european markets will accelerate in the future and that further consolidation of european trading and the post trading infrastructure is on its way,1
moreover it is also supported by easy financing conditions as our policy measures have passed through the financial system to the benefit of businesses and their customers,1
this has led to a very advanced stage of economic and financial integration in the eu with the single market and the single currency as its most visible characteristics,1
innovative developments that lead to better services can support commerce in particular ecommerce as well as productivity and income growth,1
such firms have the capacity to sell their goods and services abroad easily and profitably contributing to longerterm economic growth and employment and ultimately to the welfare of citizens,1
the single market also stands to benefit considerably from the wide range of new opportunities that have been opened up through the launch of sepa as it will promote competition and innovation as well as improve conditions for customers,1
the past decade is also testament to the fact that price stability goes hand in hand with economic growth and job creation,1
the first is withinfirm growth which depends on the generation and diffusion of new innovations and management techniques,1
the more we integrate and develop eu capital markets the more we will support a robust and uniform recovery across our economies along with the transition to a lowcarbon sustainable and digitalised economy,1
in short by maintaining a stable macroeconomic environment economic policy can thus contribute to economic growth and welfare,1
the growing inclusiveness of this economic expansion is partly due to the renewed vigour of small businesses which are a key engine of income creation in our economy,1
taken together our measures have led to a significant and broadbased easing in financing conditions for euro area firms and households which bolsters consumption and investment expenditure,1
the accelerating diffusion of the internet and related digital technologies in recent decades may provide an example of the former while the emergence of china as a global manufacturing hub exemplifies the latter,1
the private sector naturally also plays a key role in the development of integrated financial markets,1
moreover the monetary policy of major advanced economies is not only beneficial to their domestic economies but has positive externalities for the growth of the global economy as a whole including emerging market economies,1
increasing markets through geographical diversification can lead to efficiency gains via the realisation of economies of scale and scope,1
viewed from outside these two regions are large economic blocs that have led globalisation and the surge in world trade financial flows and innovative ideas that has been getting stronger during the last few decades,1
this expectation is also conditional on a projected gradual recovery in foreign demand in line with expected stronger growth in the world economy which together with low interest rates should lead to a resumption of stock building and stronger investment,1
moreover in relation to structural forces the pandemic may also have accelerated the digitalisation of the world economy which could operate as an antiinflationary force by increasing national and international competition including in previouslysheltered services sectors,1
in addition several other important developments have increased the usage of renminbi for investment purposes i the currency is already available to the corporate sector,1
in view of these effects it is altogether natural that the ecb has started to follow with great interest economic and financial developments in the wider europe particularly in those countries which have applied for eu membership,1
the growth rate of loans to households is also the strongest since 2012 with consumer credit now acting as the most dynamic component reflecting the ongoing strength of consumption,1
the deepening of the markets has been particularly strong for bonds  eurodenominated bonds issued by private entities doubled during 1999 and market activity remained quite strong until the summer of this year,1
a recent imf report highlights the fact that the german automobile industry embrace of this trend has allowed it to remain a leading producer and exporter of passenger cars with a global market share of around 20 per cent as of 2012,1
furthermore we expect consumption growth to further strengthen gradually over time in line with developments in real disposable income as the labour market situation and in particular employment growth gradually improves,1
deeper and more efficient capital markets with equity playing a greater role can be instrumental in encouraging the more rapid development and adoption of new technologies including green technologies and in facilitating the provision of finance across the eu,1
inflows of foreign direct investment fdi have largely increased being a key driver of productivity growth and export dynamics,1
