text,sentiment,audience
commercial banks are only one of several agencies  which channel funds from savers to investors,1,f
we know the strong links these banks have to the people and businesses in their communities provide firsthand knowledge of local economic conditions,1,f
i am mindful that low spreads on corporate credit together with risky corporate debt at historic highs suggest financial imbalances are growing,0,f
given the explosive growth in telephone traffic in recent years half our population would now be telephone operators,1,f
4 y accompany 1  are neer popular and in almost every sector of the economy you can find people who il w l argue that the overall restraint on credit growth works special hardsips on t1l1eir t 1 b  par icu nr usiness,0,f
some established operators incurred increased costs or operation and living that could not be sustained even on a normal market to say nothing of the low level of the last two years,0,f
i trust that all of you share this sentiment and would welcome the opportunity to work with and support regional businesses in your venture and corporate growth endeavors,1,f
farm output adjustments over the course of the business cycles were found to be smaller on average than adjustments in the nonfarm sector 3   farm output decreased an average of 23  percent per year in the thirteen years of business decline,0,f
in fact investments in computers have accounted for a full percentage point of the recent growth in real gdp,1,f
average assets marketings production expenses and net income per farm have all roughly doubled in the last 10 yearsan annual rate of increase of about 7 per cent,1,f
georgia outside the metro area remains at an earlier point in the transition to a post     11    industrialized economy and faces the dislocations associated with that change,0,f
therefore able to produce carpets fashioned virtually  to  they are  the tastes o f individual  customers while charging prices low enough to vie successfully against foreign producers with much lower labor costs,1,f
a system of farm credit banks for discounting paper of commercial banks has been suggested as a means of meeting the area creditdeficit problem,1,f
total commercial bank loans outstanding have risen at almost a 24 percent annual rate since last july,1,f
thus although they will likely have problems w e should expect m o s t nonbank suppliers of f a r m credit to be able to keep pace with future demands,1,f
but im listening to business contacts for indications they are getting more cautious with spending and hiring plans,0,f
in fact it will probably be closer to the lower end of this range because of lower oil prices early in the year and ongoing import competition that is putting downward pressure on the prices of many goods,0,f
the advance in production technology involving the increased use of commercial feeds fertilizers insecticides and other agricultural chemicals together with improved seeds adds to productive efficiency but it also adds to the cash expense and the need for shortterm credit with all ofthe,0,f
the massive  capital inflow from abroad prompted by high interest rates here bid up the value of the dollar by approximately 50 percent between mid1980 and early 1985  the effect was to  make our exports expensive in terms of foreign currencies while the dollar price of imports to the  us  fell,1,f
in the manufacturing sector idle capacity has also declined sharply because capacity to produce has risen at only about two percent a yearwhile output has been increasing at an annual rate of around 15 percent,0,f
in su ch an e n v iro n m e n t firm s a r e b ein g c a u tio u s a b o u t n e w hiring a n d so u n e m p lo y m e n t p e rsis ts a t a high le v e l w h ich in tu rn re s tra in s sp e n d in g ,0,f
following a period of rapid productivity gains during the 1950s and 1960s the economys performance during the 1970s appeared out of line with previous experience,0,f
a shift toward a more normal propensity to purchase rather than to save can enlarge sales and raise profit margins encouraging business to spend for expansion of its capacity to produce,1,f
in addition this explanation is consistent with many anecdotes from businesses about efficiency gains as new technology is put into place,1,f
measured productivity growth consequently declines when the economy enters a recession,0,f
first firms are continuing to benefit from the accommodative stance of monetary policy,1,f
no one can predict with much confidence exactly when recoveries in demand will take hold in the troubled foreign economies,0,f
page 5  it is also essential to the transition to exportled growth that we avoid protectionist  legislation that might provoke a trade war and lead to a  contraction in world trade,0,f
small businesses rely on banks not just for a reliable supply of credit but for transactions and deposit services as well,1,f
on the export side global markets are somewhat less important than in many other regions of the united states,0,f
nonetheless if the recent morefavorable economic developments gather momentum uncertainties will diminish risk premiums will fall and the pace of capital investment embodying new technologies will increase,1,f
we have reached this level of high productivity not without a good deal of pain but i am convinced that the investments businesses are making today will create greater opportunities for growth in the future,1,f
bank technology vendors are playing an important role in facilitating change,1,f
im told that overinvestment was especially the case in the telecom sector where different competing standards led to duplication and overinvestment,0,f
if we assume as i do that bankers are predisposed to lending because without lending there can be no profit then it is important to understand what stands in the way of lending to small businesses,0,f
14to sum up this brief review the improvement in the us bilateral balance with europe in 1970 depended mainly on a favorable shift in capital flows that at midyear was already showing signs of petering out and on an enlarged trade surplus that reflected in large part a favorable cyclical situation even though temporary faccors may have contributed a good deal to the abrupt worsening in these trade and capital transactions with europe so far this year the underlying trend was clearly adverse,0,f
although the bankruptcy rate remains elevated it has edged down on balance in recent months likely because of the pickup in economic growth in the united states since mid2003,1,f
in another research finding by my banks  httpwwwclevelandfedorgfor_the_publicnews_and_mediaspeeches2013pianalto_20131106bcfm4292014 11633 pm  housing in the national economy a look back a look forward  november 6 2013  federal reserve bank of cleveland economists we learned that the decline in housing prices posed a significant constraint to small business borrowing,0,f
reductions in the cost of directional fares to the u s were also initiated by international air carriers and steamship lines serving the north atlantic routes,1,f
since the beginning of 2009 texas exports have grown more than 70  percent while the nations exports sans texas have increased at half that  pace and are only now back to prerecession levels,1,f
indeed corporate net bond issuance was negative in may,0,f
however given the current exchange rates and the marked improvements in productivity that japanese industry has achieved there is little prospect that the external surplus will vanish soon,0,f
however american industry competes with manufacturers in europe and japan where banks are positioned to provide these kinds of services to businesses regardless of size and location,0,f
other financial assistance programs  given the importance of small businesses to our economy and our communities it is hardly surprising that a broad array of other financial and technical assistance programs have been created to foster small business growth,1,f
this increase in cost of production  will raise prices and before you know it price pressures here and everywhere become strong and general inflation sets in,0,f
as a result even absent a further deterioration in sales residential construction would probably decline further in the months ahead imparting a significant drag on overall growth in real gross domestic product,0,f
thats  current satisfactory inventory conditions  however also mean that we cannot expect the economy to get the stimulus from inventory rebuilding it did in 1976  so  altogether the business sector will probably not provide the degree of thrust the economy needs,1,f
also pentup demand for various goods that have simply worn out over time but not been replaced,1,f
these resource utilization rates may improve with further expansion of business activity but it should be remembered that results must be measured against an evergrowing potential stock of labor and other resourcesdespite the ample availability of workers materials and unused industrial capacity the expansion in economic activity since the recovery commenced is not especially large for this stage of the cycle,1,f
1 4 these changes involve shifts in the structure of production as bullish expec tations are capitalized into heavy expenditures for investment,1,f
if productiv ity growth had shifted higher the economys sustainable growth rate would be higher as well and the inflationar y risks of faster economic growth would be diminished,0,f
trade on this level is unlikely to disappear  on the contrary its likely to increase  and that means even modest tariffs if they are applied several times over to the same production chain would be enough to disrupt a host of industries,0,f
both of these developments will have a positive impact on business investment,1,f
it may be correctly anticipating a much higher level of profits than that reported in the latest official figures there are good reasons to think that profits are rising rapidly the volume of business operations is expanding and productivity has been rising unusually fast,1,f
these data add to the evidence that credit availability to small businesses is gradually improving,1,f
japanese export growth has slowed considerably in recent months and some categories have actu ally registered declines,1,f
such increases can be common in this stage of the business cyclebusinesses thus far have absorbed input price increases presumably believing that competitors would not follow suit which suggests that they believe that overall inflation will remain low,1,f
for those of you in americas premiere export industry there is light at the end of the tunnel,1,f
the current expansion has provided a favorable climate for small businesses generally and for minorityowned firms in particular,1,f
in 1996 alone nearly a million new firms began operation,1,f
the recent stabilization of rig counts in the united states suggests that this source of restraint on business investment may be coming to an end,1,f
the changes  in pulpwood production have been encouraging for the pulp and paper industry is the major forestbased industry of the area,1,f
similarly for small businesses getting immediate access to funds from a sale in order to pay for supplies can be a gamechanger,1,f
but more importantly business spending on capital equipment rose strongly in the second half of last year and appears to have increased at a brisk pace so far this year,1,f
that said business investment outside of the energy sector has been unusually soft for the past three quarters and this weakness will bear close watching,0,f
for example in recent years technological advances in inventory control have seemingly dampened the historic production volatility in the auto industry and other durable goods sectors,1,f
last year more than 16 million cars and trucks were sold in this country in the first quarter of 2008 the sales rate fell to 153 million units and in the second quarter the sales rate fell to 141 million units,0,f
thus for many o f the regions industries the likelihood o f substantial improvement is not high,0,f
innovation is already altering the power source of motor vehicles and much research is directed at reducing gasoline requirements,1,f
one very dangerous consequence of the deteriorating trade performance of us industry is the increased clamor for protectionist measures that would be terribly harmful in the long run to our economy and to the economies of other nations,0,f
fortuitously the southeast is a major nationwide supplier of lumber used in residential construction,1,f
for example auto production that was disrupted by shortages of supply parts from japan has bounced back,1,f
in an automatic cyclical fashion increased orders and increased employment should result as businesses run off their present excess inventories and are forced to reorder new materials and equipment,1,f
while residential investment has been improving business fixed investment remains weak,0,f
the index of wholesale prices of industrial commodities is constant,1,f
7 meanwhile foreign competition is pressing so hard upon us that american business increasingly s_eems to be going protectionist,0,f
from present information it appears that a turnabout has occurred in corporate liquid asset management with a resulting increase in demands for transactions balances,1,f
thus in all aspects o f commerce we found that businesses in tokyo hamburg and seoul were making major inroads into markets which had been virtual monopolies fo r american producers,0,f
for example the ratio of gross interest payments to corporate cash flow before interest provision is currently about 35 percent close to the 1982 peak when interest rates were much higher and profits were weak owing to the recession,0,f
on the business side capital spending will be enhanced by the reduction in borrowing costs and businesses are likely to focus on efficiencypromoting equipment like computers,1,f
white sulphur springs west virginia bankers convention july 20 1956  meeting the farm challenge m monroe kimbrel executive vice president first national bank thomson georgia  even as i begin when so many of you have been reading in the newspapers about the farm depression i can almost hear you wondering why we as bankers continue to fuss so much about maintaining service for a sick industry,0,f
i think we could see an uptick in activity in the second quarter as business activity rebounds and some catchup in sales and production occurs,1,f
productivity in turn is importantly affected by changes in the stock of capitalthat is machines and factoriesas well as technological advances and improved production methods,1,f
be that as it may the facts seem to be pointing to a rising mismatch between what our education sector offers to students and the skills training and knowledge our business sector needs more and more,0,f
in broad terms an important contributor to the rise in earnings inequality has been an increase in the premiums that firms are willing to pay for higherlevel skills,0,f
by 1964 outlays for business fixed equipment had become a main driving force behind the rise in economic activity,1,f
2  a brighter spot has been business investment spending which has been supported by solid growth in corporate earnings,1,f
combined the influences of hightech investments  use and production  fully account for the acceleration in productivity in the late 1990s,1,f
already left with an overhang of equipment from the investment boom of the late 1990s businesses confronted these new uncertainties about the future and saw new reasons to defer and delay investment spending,0,f
it was 15 years for example before the district re  166  michael moskow speeches  2003  attained its former share of the nations manufacturing jobs,0,f
a  sales of both new and existing homes in the midwest have exceeded practically everyones expectations which in turn has kept items such as appliances electronics and lawn furniture selling rapidly,1,f
auto sales are also a herald of things to come,0,f
they have relocated production around the globe to more costefficient locations and prompted a worldwide expansion of trade in parts and semifinished goods as well as in final products,1,f
beginning in the 1970s manufacturers increasingly used technology to improve efficiencies in all aspects of their businesses,1,f
this is unfortunate in the respect that it would curb imports and foster more domestic consumption o f usmade goods,1,f
at the turn of the year we began hearing anecdotal reports both in our district and elsewhere in the country of commercial development projects being deferred or cancelled outright,0,f
in other words we made a social and political decision which resulted in an absolute decrease in our production capacity for goods and services,0,f
businesses slashed capital spending and payrolls and real gdp contracted by 47 percent more than twice the average for the 10 other recessions since world war ii,0,f
they represent the best of corporate leadership in the technology industry today  the entrepreneurial spirit of a young dynamic company and the innovative drive of an industry giant with markets that span the globe,1,f
but when the demand for goods and services is growing slowly that may be the case,0,f
as the temporary dollar surge made our products uncompetitive americans were quick to abandon their foreign markets instead of redoubling their efforts to enhance productivity and to offer better service,0,f
these linkages can create business opportunities and enhance the productivity of small and mediumsized enterprises,1,f
moreover although we often think of global competition as being associated with internationally traded goods many of the same forces that have made the global marketplace increasingly competitiveespecially faster cheaper transportation and the revolutionary changes in communications and information managementalso operate to make domestic markets broader and more competitive,1,f
2  that will certainly have an impact on our overall level of exports,1,f
the largest firms in the industry and the number of such firms remains large enough to assure vigorous competition have been maintaining their profitability compared with manufacturing as a whole,1,f
in the first place our manufacturing  sector is not nearly as bad o ff as some would have us believe and the potential for significant advances in productivity is at hand,1,f
these circumstances should help our net export position,1,f
controls did discourage domestic oil production which fell precipitously thus increasing our reliance on oil imports,0,f
the major areas of strength in the outlook are business spending for new plant and equipment as well as inventories,1,f
indicators of business sentiment from a variety of national and regional surveys have deteriorated on balance in recent months,0,f
presently  manufacturing accounts for only 7 percent of our employment though output in  manufacturing has fallen much less from 18 percent to 15 percent,0,f
as the share of manufacturing employment continues to decline in the united states and in mississippi driven by productivity gains and the movement of lowerskilled jobs overseas the new face of manufacturing is one of high efficiency and use of advanced technology,0,f
2  hie us economy i believe we will have another good year of moderate growth with gdp expanding by about 3 percent slightly faster than in 1993 in fact the momentum of business activity in the last three months could even push this figure higher,1,f
d our strength in the future will be our ability to compete on quality rather than on price,1,f
with the strains in housing persisting a substantial slowdown in business spending could raise the odds of a recession,0,f
growth in spending on hightech capital equipment and software was especially high averaging 20 percent per year or more,1,f
e  corporations are borrowing longterm money at real rates that will be high unless the rate of inflation rises,0,f
america has come a long way since the dark days of the financial crisis and small businesses deserve a considerable share of the credit for the investment and hiring that have brought that progress,1,f
and when i see the small business owners that i used to lend to they tell me that they could not have survived the downturn without low rates,1,f
there have been more than a few dismaying examples of ceos who nearly drove their companies to the wall and presided over a significant fall in the price of the companies stock relative to that of their competitors and the stock market overall,0,f
high consumer demand has been great news for the auto industry,1,f
so there are a lot of reasons to be concerned about when business spending will pick up,0,f
as a result of the capital inflow over the  past eight years or so the stock of productive capital in the us is significantly larger than it would have otherwise beenthis increased capital stock produces a number of macroeconomic benefits,1,f
on the supply side the production of oil has been constrained by available capacity hurricanes and geopolitical developments,0,f
because of this catchup factor capitalgoods spending will probably continue high even if some easing of sales occurs at the retail level,1,f
finally you as businessmen can play an important role in further enhancing the attractiveness of the city as a place in which to live and do business,1,f
reflecting these developments is a continued rise in corporate profits which has allowed firms to further bolster their strong balance sheet positions,1,f
major overseas markets are becoming more open although the degree of openness varies from market to market,1,f
international trade barriers are as unreasonable under competitive production and marketing conditions as are trade barriers between states cities or counties,0,f
the proportion of farm employment  attributable to the production of products exported was as high as 18 percent in north dakota and 24 percent in montana,1,f
i feel that pcess inventory accumulation in anticipation of inventory profits magnifies the amplitude of the normal recession cycle,1,f
the weak dollar and the longawaited european recovery should boost domestic sales which in turn should lead to more investment by businesses,1,f
even so the  necessary investment wont be forthcoming without an inflationfree environment of greater certainty for business planning,0,f
those productivity increases affect the inflation outlook in two related ways first by raising potential output and thus for given growth in aggregate demand the size of the output gap and second by reducing the costs of production which puts downward pressure on prices,1,f
part of the problem lies with the 150percent oilprice shock of the 197980 period which acted as a giant    sales tax raising prices and draining off purchasing power that otherwise would have been available for buying other goods and services,0,f
although some of this activity involves issues related to affordable housing and community development over the past few years our community affairs activities have increasingly focused on small business and economic development,1,f
moreover business fixed investment is likely to get a boost from the fact that the real price of hightech goods is likely to continue to decline somewhat so that the hurdle rate for hightech goods is likely to continue to decline,1,f
a substantial rebound in business spending had been a hallmark of most past economic expansions,1,f
total value of farm assets rose from 1316 billion in 1950 to 2979 billion in 1969 some of the increase was the result of inflation but the greater portion represents rising capitilization primarily additional laborsaving machinery,1,f
opec was able to boost production relatively quickly in response to changing market conditions by utilizing productive capacity that had been idle,1,f
moreover an environment of rising stock prices is ordinarily one in which companies can more 4  readily raise funds in the market which supports higher business capital spending,1,f
2  firms would face lower costs of funds and hence lower hurdle rates for approving new investments,1,f
because the reallocation of productive factors is found to occur both within and across industries this process creates aggregate productivity gains,1,f
heail  they reduced their herds rather than accumulate excessive debt for when drought began to impinge on their reserves too feed  in this way they avoided unnecessary damage to their ranges and  8 conserved their assets so as to be in position to restock as conditions improved,1,f
although us exports have grown rapidly the united states is not the worlds largest goods exporter,1,f
gnp rose by 16 billion in the fourth quarter almost as much as in the first quarter of the year when the effects of the automobile and steel strikes shifted output from the past and the future into a temporary surge,1,f
moreover there is little evidence that higher oil prices have spread in a substantial way elsewhere in the economy and into an ongoing increase in inflation as was the case in the 1970s,1,f
as growth in sales moderated some stores and factories were caught with excessive inventories particularly in the auto industry,0,f
slow growth abroad especially in europe and china and uncertainty over trade policy and tariffs have weakened demand for us exports which has weighed on the us manufacturing and agricultural sectors,0,f
this surge in the availability of more timely information has enabled business management to remove large swaths of inventory safety stocks and worker redundancies,1,f
we left to europe the specialized markets for high quality goods,0,f
the present system also provides too little incentive for capital investment during periods of high inflation and financial uncertainty liberalized depreciation allowances should certainly be given prime consideration when a tax reduction is appropriate,0,f
to dwell on a point most all the  businesses i talk to are expanding investment in productivity enhancement,1,f
bottlenecks develop in certain sectors as they expand and prices in those sectors begin to rise,0,f
over the past 50 years we have been challenged by growing competition from japan the asian tigers mexico and now china and india,0,f
to be sure although it has yet to show any real signs of vigor business fixed investment has at least seemed to stabilize,1,f
real business  investment increased only onethird as fast and worker productivity less than half as fast as in the preceding decade,0,f
thus while the pressure on profits is unmistakable it does not appear to justify a general rush to restore margins through successive rounds of price increases,1,f
residential construction will again be a solid     3 contributor to growth in the us economy as will capital investments by businesses especially on computers and industrial equipment,1,f
this could occur if for example continued uncertainty over the international trade situation generated adverse business sentiment and reduced spending or alternatively if the firming of inflation expectations stalls out before they are clearly centered around our 2 percent inflation target,0,f
uncertainty can also make firms less confident about hiring and pricing,0,f
real spending on equipment and software rose about 4 percent over the past 12 months according to the most recent gdp report a modest gain for this category of spending,1,f
1  also with the daimlerchrysler merger last year the auto sector is now arguably the most important industry of shared interest for germany and the united states,1,f
business contacts report difficulties finding qualified workers and increased costs associated with inputs tariffs and transportation along with somewhat greater ability to pass through those increases to consumer prices,0,f
i am not aware of any evidence that the banking industry as a whole is inappropriately impeding the availability of credit  and that seems to be confirmed by recent small business surveys,1,f
except for feed grains and rice total crop       7    output is better than last year and a combination o f reduced acreage higher yields and stable or higher prices is expected to improve net farm revenues substantially,1,f
as we are all too aware in the most extreme cases complex structured   finance transactions appear to have been used in fraudulent schemes to   misrepresent the financial condition of public companies or evade taxes,0,f
we nurture this progressive credit climate by striving to maintain low          inflation which makes it easier for entrepreneurs to bear the longterm          risks associated with creating new enterprises,1,f
these capital adjustments coupled with new capital inputs have greatly increased the industrys demand for outside funds,0,f
suggest and highlight sensible actions by small businesses,0,f
hog producers who usually benefit from falling feed costs instead have suffered big losses this past year not so much from troubles on the export side as from sharply increased production hog prices fell about twothirds over the course of 1998 but that decline at least has been partially retraced in recent weeks,0,f
part of this pullback was motivated by skittish households cancellation rates according to some large builders reached 40 percent or more during the latter part of 2006 although the majority of forecasters correctly anticipated softness in housing construction the magnitude of the decline exceeded their expectations,0,f
the rise in interest rates this yeara rise which has taken most rates to 40year record levelsis an additional indicator of restraint although the extent of the interest rate rise was in large part influenced by the continuing expansion of credit demands mainly by businesseswith the supply of lendable funds below the large demands the increases in interest rates rationed available credit among potential borrowers,0,f
a majority 8 out of 10 cite economies of scale as a factor in making an acquisition offer,1,f
the much improved profitability can help finance expansion directly out of internal funds or indirectly by supporting firms borrowing capacity,1,f
however a rough guess at this time would place the strikeadjusted export surplus in the first quarter at an annual rate of slightly more than 12 billion somewhat better than the rate in the last half of 1968 imports the major factor in the worsened trade performance last year was the exceptionally large yeartoyear increase in the value of imports,1,f
one possibility is that interest rates may have fallen in large measure because of weak aggregate demand for domestically produced goods and services due to the unprecedented growth of imports relative to exports in this country,0,f
an occasional failure eliminates the inefficient    14  and is a signal to other firms to exercise caution,0,f
dollar appreciation depressed dollar prices of agricultural commodities which in turn depressed farm incomes and the value of agricultural land,0,f
they appear to be content to post strong profits generated by unprecedented costcutting rather than growing their topline revenues by expanding capital investments and hiring,0,f
across the region im hearing that the investment spending taking place these days is motivated more by a desire to cut unit costs than to grow revenues,0,f
it was technological innovation that allowed computer prices to fall so ver y rapidly and which has facilitated the rapid spread of computers throughout our offices stores and factories as part of the capital deepening process,1,f
such episodes may partially explain the weakness in business capital investment,0,f
too much liquidity means that spending may rise to the point that aggregate demand strains the productive capacity of the economy increasing the costs of production,0,f
we want growth in output and we want more than anything to see a type of growth that permits us to expand our capital plant and at the same time to consume currently some of the fruits of our improvements,1,f
as indicated earlier debt exposure with the narrow margin of profit  and the inability of the farmers own and unpaid family  labor to absorb the losses on modern highcapacity farms attention must be focused on the reliability of  credit analysis,0,f
i agonized over newloan and loanworkout decisions affecting the small businesses that had been my customers for more than a decade,0,f
in this hemisphere canada should grow about 3 percent in 1989 high capacity utilization is likely to mean that business investment will provide a major push to the canadian economy,1,f
at the start of last year the message i was gettingfrom business leaders economic data and the marketswas one of overwhelming positivity,1,f
an increasing amount of domestic spending has gone to buy foreign products,0,f
nonetheless export growth should continue to boost ongoing gains in the  manufacturing sector,1,f
nevertheless  improvement can be made and we do need to raise our productivity and the quality o f our products so as to compete more effe c tiv e ly in world markets,0,f
i have talked at some length about the growing need for more adequate farm credit,1,f
specifically i wanted to know the nature and magnitude of the financing problem which the utilities will face over the next few yearsand not simply its longerrun dimensions,0,f
overall business investment should continue at a respectable pace but not at the high levels of 98,0,f
the types of developments that might similarly reduce bank market share in small business lending are proceeding rather slowly at present but may accelerate in the future,0,f
so as the recovery begins to build up some steam  as businesses struggle to close budget deficits and fill office and industrial space and restore profitability over the short term  i hope well stay focused on two issues that will have a much bigger impact on the vitality of the region in the long term,0,f
however the upturn in manufacturing that the rest o f the country has been experiencing may largely bypass mississippi since so much o f its factory output is in the lowwage sector where developing countries have a decided advantage,0,f
postponement of new construction therefore need not materially cut back current utilization of services,1,f
this low interest rate  is intended to stimulate consumption by households and investment by firms,1,f
oats for example have been in high demand in the united states in recent months because of the increased public awareness of the health benefits of oat bran,1,f
these businesses tend to be the economic lifeblood of their local communities and this lending facility is designed to forestall mass closures of small and mediumsized businesses on main streets across the country,1,f
by  contrast upstate new york is less unequal but the disappearance of  manufacturing jobs has held back growth,0,f
on the other hand louisiana whose economy remains heavily  dependent on the sluggish petroleum industry and international trade has begun to show improvement only recently,1,f
in particular it emphasizes the central role of productivity growth in raising standards of living and illustrates what goes into such growth,1,f
to be sure buying in stock will have a  positive wealth effect on that companys shareholders but putting the  equivalent amount of money to work in spending on plant and equipment would put  more people back to work more quickly,1,f
prices of industrial materials have fallen by about 14 percent over the past year,0,f
one is the pressure of inflation on real corporate profits,1,f
my late friend james g vail when president of the society of chemical engineers suggested to his fellow chemists that the problem can not be met by despair cynicism or irresponsibility,0,f
in those days farm credit leaders had no need to concern themselves with the aggregate supply of funds,1,f
recall that the demand decline involved a portion of a relatively small sector of the us economy,0,f
the advent of genetically modified organisms in many crops which follows the advances in genetic improvements applied to livestock production promises both increased production and reduced reliance on pesticides,1,f
small businesses are very susceptible to swings in the economy and have a much higher failure rate than larger operations,0,f
for instance there has been no increase at all in the amounts invested annually in the manufacturing industries after making allowance for higher equipment prices and for types of investment that serves to protect the environment rather than to increase output,0,f
another factor that makes our city an excellent place to do business and explains why the jobs are available in the first place is that atlanta has become a crossroads for producers and suppliers all over the eastern united states,1,f
however the increase in inflation is principally a result of the dissipation of the direct effects of recent favorable supply shocks,1,f
in addition businesses are in the process of moving from liquidating inventories to restocking them,1,f
patterns of trade are distorted,0,f
the only way we can accomplish this is by consuming less of our own production and exporting more,1,f
the opening up of china and india in particular represents a potentially huge increase in the global supply of mainly lowerskilled workers,0,f
the united states also enjoys high rates of new business creation which complement beautifully the flexible labor market,1,f
capacity utilization has been rising,1,f
reforms are being built on the region s considerable  natural and human resources and on an industrial base which is large though often inefficient and in need o f modernization,0,f
federal reserve vice chairman ferguson emphasized how past industry efforts at business continuity planning had paid off during the crisis,1,f
but when the economy is already operating at full capacity productive facilities can be expanded only if resources are diverted from the production of goods for consumption neither investment nor consumption can be expanded further simply by inflating the flow of money with additional bank credit,0,f
