Parsed_Text,label
in the end the us banking agencies tried to allow as much choice as possible while ensuring that banks are still meeting domestic regulatory obligations avoiding privatesector costs that do not produce some clear and convincing level of benefits abiding by the evolving basel ii agreement and most important maintaining a safe and sound us banking system,2
durable goods production is even more concentrated here,1
transcripts of the fomcs meetings are made available with a fiveyear lag allowing researchers to study the closeddoor discussions after an appropriate time has elapsed,4
another potential advantage of gradualism is that by taking small steps policymakers give themselves the opportunity to assess the effects of their actions and perhaps to refine their views on how large a policy change will ultimately be needed sack 1998,4
these outcomes would be helpful but the effectiveness of an mbs purchase program would be amplified perhaps significantly if certain nonmonetary policies were changed,3
an institutions record of performance is also taken into account along with other factors when the federal reserve  6board decides whether or not to approve certain applications from the institution such as to form a holding company or to acquire a bankbecause of the increase in acquisitions cra has lately been the focus of increased community and state legislative interest and concernone of the concerns expressed regards the potential for banks to be less responsive to local concerns if decisions about local bank policies are made by institutions in other states,2
over the course of this recovery the unemployment rate has fallen from a peak of 10 percent in october 2009 to 58 percent today,0
the fomc typically sets a target value for the federal funds rate  the rate at which banks lend to each other in the overnight market,4
specifically i want to talk about the importance of fed independence and insulation from shortterm political pressure in the conduct of monetary policy,3
beyond the fed the bankruptcy process could perhaps be enhanced in ways that speed up the resolution process for large financial firms but retain clear legal rules about the distribution of losses and oversight by a bankruptcy court,2
they can retard or even smother adaptation in the entire financial sector of the economy,2
indeed residential investment subtracted from growth throughout 2018 and in the first quarter of this year,1
in fact it will probably be closer to the lower end of this range because of lower oil prices early in the year and ongoing import competition that is putting downward pressure on the prices of many goods,1
the advance in production technology involving the increased use of commercial feeds fertilizers insecticides and other agricultural chemicals together with improved seeds adds to productive efficiency but it also adds to the cash expense and the need for shortterm credit with all ofthe,1
nonetheless since the latest wave of nonbank acquisitions began around 1969 i know of only a handful of cases in which nonbank affiliates performance was so poor as to seriously destabilize the parent holding company or its lead bank,2
georgias    7    quality basic education program is one such initiative,0
the credit intermediation  process has become dysfunctional and as for stocks the sp 500 index has  become historically and hysterically volatile it closed today roughly 50  percent off its october 2007 peak,2
whether the extent of your business resides only within one community or extends internationally some portion of every firms year 2000 efforts must be coordinated and cooperative,1
the small bank can also develop a working relationship with a correspondent bank so that the large correspondent bank purchases loans from the small bank  when seasonal volume becomes very heavy,2
the idea promoted by former federal reserve chairman paul volcker and now endorsed by the administration is to insulate insured depository institutions from proprietary trading or similar capital market activities that are thought to pose unusually high risks for institutions or more precisely for the federal safety net provided to insured banks,2
13 and president obama said in august 2009 we will continue to maintain a strong and independent federal reserve,4
4  growth in total spending at a rate consistent  with price level and emoloyment objectives  is more important to the overall wellbeing of our citizens than are monetary actions  directed toward the welfare of special sectors,3
the massive  capital inflow from abroad prompted by high interest rates here bid up the value of the dollar by approximately 50 percent between mid1980 and early 1985  the effect was to  make our exports expensive in terms of foreign currencies while the dollar price of imports to the  us  fell,1
there is accordingly an especially great need for efficient cooperation and coordination among the various regulators that collectively oversee the financial system,2
second u s banks have more restrictions on the products they can offer often limiting them mainly to deposittaking and lending activities,2
in the manufacturing sector idle capacity has also declined sharply because capacity to produce has risen at only about two percent a yearwhile output has been increasing at an annual rate of around 15 percent,1
this is of course presently true statistically for even bank holding companies that have aggressively sought nonbank acquisitions still have most of their assets in banking,2
also since there is a tradeoff between inflation and unem ployment we must be prepared to accept at least a temporary rise in the unemploy ment rate even after the energy problem is solved and to use special programs to ease the plight of those affected,0
i can say without contradiction that this is a period of unique challenge for your industry and for banking and thrift regulators and i would like to focus ray remarks on the new approaches these times call for from both regulators and management,2
for innumerable reasons state planning simply cannot deliver the goods and services people seek,3
somehow the monetarist view of milton friedman doesnt seem completely convincing either,4
in midseptember the atlanta fed held a oneday conference on commercial real estate involving investors developers bankers and academics,4
there is nothing intrinsically wrong with broadening the tax base beyond the payroll tax but there is a potential problem in breaching the trust fund limits,3
the fa c t is at least so far as we can measure and there are problems in measuring income as you know minnesota has been below the national average on per capita income fo r many many years until just the last couple of years,0
at the federal reserve we are preparing our communications system for the payments mechanism of the future,4
in su ch an e n v iro n m e n t firm s a r e b ein g c a u tio u s a b o u t n e w hiring a n d so u n e m p lo y m e n t p e rsis ts a t a high le v e l w h ich in tu rn re s tra in s sp e n d in g ,1
some of these services such as legal and accounting services are closely connected to success in financial services trade,2
had house prices kept appreciating loantovalue ratios would have fallen and some borrowers would have been able to refinance perhaps into a prime loan with a lower interest rate,0
following a period of rapid productivity gains during the 1950s and 1960s the economys performance during the 1970s appeared out of line with previous experience,1
indeed i believe it is very difficult to make the case that its an acceptable risk for a bank to lend to a corporation longterm at a fixed rate to guarantee its commercial paper to provide it a longterm letter of credit to engage in interest rate swaps with it and tounderwrite its securities in london or tokyo but not to permit that same bank organization to underwrite the same corporations stocks and bonds in the united states,2
there are also great opportunities to more closely integrate fouryear and community colleges in ways that promote efficiency and better serve students,0
three such indicators that i will briefly discuss are access to credit rates of homeownership and small business development,0
a shift toward a more normal propensity to purchase rather than to save can enlarge sales and raise profit margins encouraging business to spend for expansion of its capacity to produce,1
in addition this explanation is consistent with many anecdotes from businesses about efficiency gains as new technology is put into place,1
using total reserves as the daytoday operating target which the federal reserve has never done would be a very direct approach leaving little scope to the market,2
it is certainly reasonable to assume that exotic or at least exotically named derivatives are riskier than singlefamily mortgage loans,2
measured productivity growth consequently declines when the economy enters a recession,1
first firms are continuing to benefit from the accommodative stance of monetary policy,1
in the fourth quarter of 1993 banks had unrealized gains of 115 billion,2
but there has been a lot of concern over the decline in participation,0
and this simple fact is one   6 of the many reasons for the growth of multipleoffice banking the bulk of bank customers are no longer business enterprises  located downtownunless we wish to impede seriously our economic progress we must bow to change and reality exemplified in such developments as these,2
there are  many possible sources of mismatchgeography skills demographyand they are  probably all at work,0
no one can predict with much confidence exactly when recoveries in demand will take hold in the troubled foreign economies,1
the word inflation is in quotes because at the time and since not all analysts have been in agreement that this was a period when fiscal and monetary policies should have been constraining growth and employment,0
part of our rationale for approving the dual ihc structure was the enhancement of recovery and resolution options of the global firm,1
consequently capital flowed rapidly into the united states helping to fuel large appreciations in stock prices and in the value of the dollar,2
yet there is something special about the federal reserve,4
however state member banks are also relatively much more important than insured nonmember banks,2
its impossible to know  exactly how and when workers and businesses will be fully back to work and when  consumers will return to the businesses that are open,0
this makes workers more of a bargain for employers causing an increase in hiring,0
6237796 return to text   10 see board of governors of the federal reserve system 2012 annual companyrun stress test requirements for banking organizations with total consolidated assets over 10 billion other than covered companies final rule docket no,2
it also implies and i cant emphasize  this too strongly a scaling down of rhetoric of public promises of expectations so that public officials and policy are believable and therefore worthy of support,4
in my view such an agreement could unleash consumer and investor confidence that would lead to healthy economic growth without reiflation,0
i believe the answer is that we sometimes expect more from monetary policy than it can deliver,4
page 5  it is also essential to the transition to exportled growth that we avoid protectionist  legislation that might provoke a trade war and lead to a  contraction in world trade,3
this consumer credit backlash has contributed to the adoption or proposal of several legislative or regulatory changes in recent years,3
third cra does not require banks to make loans at belowmarket interest rates or under terms and conditions inconsistent with safe and sound lending,2
another director said of the current financial turmoil when you swim in the ocean you dont know whos naked til the tide goes out,2
nonetheless market reactions to the announcement of the emergency facilities anecdotal evidence and a number of the studies we do have suggest that the facilities forestalled potentially much worse outcomes and encouraged improvements,2
and as you build up the rules and regulations dealing with that exception you end up with a mountain of pamphlets describing the various rules and regulations relating to thousands and thousands of products and services,3
the great  inhibitor of job creation is the uncertainty over taxes and spending and  regulation that plagues businesses,3
but community banks do have some key advantages,0
parity in how applications are considered without regard to race sex or other prohibited bases is absolutely essential in our country,0
small businesses rely on banks not just for a reliable supply of credit but for transactions and deposit services as well,1
pillar 2 of the new accord provides a consistent framework for improving supervisory assessments of capital adequacy and risk management,2
here let ne digress for a moment to make this assertion which i believe to be true that the increase in the productivity of human labor en wh,0
just as balance sheet policies are a natural step when the policy interest rate is at zero higherpowered communication methods are a natural step as a complement or substitute for balance sheet policies,4
but as ill discuss the idea behind qe  is that the yields on those longterm treasuries will affect yields on all  longterm securities,4
hence policymakers may have unwittingly contributed to accelerating inflation that reached double digits by the end of the decade as well as undesirable swings in unemployment,3
also congress recently authorized the federal home loan bank board to permit s  ls to offer billpaying services for their saversfourth savings banks and s  ls have become more like commercial banks in the kinds of loans and investments they are authorized to make,3
as you well know the progress weve made toward price stability has been at great cost including a severe economic contraction,4
as competitive pressures have intensified community banks have used a variety of tools to maintain a competitive edge,2
the number of job openings is at its highest level since the start of that data series in 2000 and the statistics show more posted job openings than unemployed workers,0
the scores of smaller stockholders had looked to him for years to run the bank and were easily swayed,2
this should empower consumers to make better informed choices and improve competition,0
these studies find that policy differencesin particular the expansion of paid leave following childbirth steps to improve the availability and affordability of childcare and increased availability of parttime workgo a long way toward explaining the divergence between advanced economies44 evidence suggests that if the united states had policies in place such as those employed in many european countries female labor force participation could be as high as 82 percent45 however these policies entail tradeoffs,0
conclusion in conclusion id just like to say that the output gapand its resultant elevated unemployment and excess capacityis just one in a long line of challenges that the countr y has faced in its economic histor y however to its credit time and time again our economy has proven itself resilient in the face of these shortter m challenges,0
so when i was invited to  speak to you about the international economic situation generally and the prospects for swedishamerican investments in particular i was delighted to accept,1
controlling bsaaml risk continues to be a primary concern for banking organizations,2
for example a foreignowned us bank may decide to begin to offer consumer mortgage lending or investment advisory services,2
given this relatively moderate pace o expansion it has been difficult to nudge unemployment down to the more acceptable 6 t    2   6 12 percent range from the 7 percent mark where it remained lodged for most of tl year,0
growth occurs not only because  we have more people working or more machines or in economic terms more labor  and more capital but also because technological advances make existing  workers more productive,0
although the fomcs ultimate objective is to provide the appropriate degree of financial stimulus to the economy the committee has no direct control over the key interest rates and asset prices that jointly determine the extent of financial stimulus as i have already noted,3
on the export side global markets are somewhat less important than in many other regions of the united states,1
but i hope to convince you  that taxation is the best way to meet all five objectives,3
in the us  fedwire is a realtime gross settlement system,4
nonetheless if the recent morefavorable economic developments gather momentum uncertainties will diminish risk premiums will fall and the pace of capital investment embodying new technologies will increase,1
obviously however central bank policy action  with respect to reserves has direct influence on interest rates if supplydemand relationships have any meaning,4
conceptually one might say public policy acting through govermnent may institute a federal credit program only when imperfections in the working of the pivate financial sector are causing a suboptimal allocation of funds to a given activity or when it is socially desirable to encourage the expansion of that activity beyond the limits of an efficiently working market system,3
the central bank of canada also has a 2 percent inflation target,4
in doing so there are lessons they can learn from advances in risk management strategies developed by major financial institutions,2
few recognize the complexity of our existing financial system,2
effected in early 1965  had a tax rate increase been  the actions of december could have been modified,3
the higher policy rate path that is higher  rc causes the longterm interest rate panel a to rise which in turn induces the real exchange rate to appreciate panel b,4
so what additional steps can we take to increase transparency,4
financial institutions are required to determine credit needs develop products to help meet those needs and market those products equitably through the communities they serve,2
footnotes  some reserve banks also have branches,4
actions that reduce current tax revenue without decreasing either present or future government expenditures do not constitute a reduction in actual tax burdens,3
now in a movement that will probably not become a major short run trend three states7 have chosen to permit entry by out of state bank holding companies,2
the congressional budget act of 1974 requires a listing of tax expenditures in the budget,3
we have reached this level of high productivity not without a good deal of pain but i am convinced that the investments businesses are making today will create greater opportunities for growth in the future,1
today about 25 billion in federal reserve repurchase agreements is outstanding,4
while i expect retirees to continue coming to florida in 1991 their numbers should be diminished somewhat,0
this approach would be operationally convenient but would also leave the size of the balance sheet and reserves larger than necessary most of the time,4
economic growth in the past decade was boosted by households taking on more debt coping with that debt is holding back growth today,0
were doing everything we can to help people get through a really painful time,4
starting with inflation we aim for an average of 2 percent,4
bank technology vendors are playing an important role in facilitating change,2
they likely will fall back once the incentives are reduced but in any case the surge signals that households are still willing to make large longterm commitments despite the uncertainty and risks of a recession,0
this threat  could well lead to continued declines in bank lending which would curtail the  recovery,2
given the enormous agenda of unfinished business we have at home including the elimination of poverty and ignorance the eradication of racial discrimination and the rebuilding of our cities a substantial proportion of the public clearly has concluded that this energy and imagination can be employed far more productively in the effort to cope with thepervasive ills in our own midst,3
and it may be lower because of the jarring changes such as job losses,0
im told that overinvestment was especially the case in the telecom sector where different competing standards led to duplication and overinvestment,1
there should also continue to be heavy emphasis on the performance of services for a fee in order both to offset the economization of demand deposit balances to which i referred before and to insure enhanced profitabilitywe can anticipate that additional efforts may be made to create instruments attractive to investors and rewarding to banks,2
taking this approach in the us context could help to reduce the cost that the largest banks face in offering clearing services to their customers,2
for the nation as a whole community banks today account for almost 20 percent of banking assets,2
the spirit of neighborly helpfulness motivates volunteer workers,0
more recently vayanos and vila 2009 study a preferredhabitat model in which short and longterm assets are imperfect substitutes in investors portfolios and the effect of arbitrageurs is limited by their risk aversion or other market frictions such as capital constraints,2
for one thing the debt service burden will be that much larger,3
i plan in these remarks to give most attention to employment or more to the point full employment,0
the intense volatility in financial markets that we saw at the end of last year and the beginning of this year has subsided,2
conservative estimates suggest that the net effect of y2k remediation efforts might shave a tenth or two a year off the growth of our nations overall labor productivity and a more substantial effect is possible if some of the larger estimates of y2k costs turn out to be accurate,0
rather than fight against all change many now focus more on trying to shape the new interstate laws to maximize their opportunities in a less regulated environment,3
in particular policymakers who see the deterioration in labor market performance as reversible using monetary policy will typically favor more accommodative policy than those who view the deterioration as more protracted,0
we can put policies in place that will support labor force participation and give us the best chance to achieve broad and sustained increases in productivity and thus in living standards,4
the polarization of job opportunities in the us labor market implications for employment and earnings pdf,0
in britain holland and belgium 1986 is likely to be the fifth straight year of doubledigit joblessness,0
if that is so then our standard of living will increase more slowly going forward,0
in        3the early 1960s banks began issuing negotiable certificates of deposit and security dealers developed a secondary market for large cds,2
but published unemployment rates during covid have dramatically understated the deterioration in the labor market,0
of course while the current approach allows for an ad hoc consideration of the particulars of each activity it still requires at least a general filter for identifying sources of systemic risk,2
disclosure rules that are built too rigidly while risk management processes continue to evolve may make them less effective in describing the risk profile of a specific organization,2
the general topic of free banking can be thought of as dealing with how an economic and financial system would operate in the absence of state interventions such as a central bank,2
indexlinked government debt could provide  information that might help monetary policymakers do exactly that,3
